   207.000 0 0 0 0      0.979      0.021    1
    46.000 0 0 0 1      0.945      0.055    1
     7.000 0 0 1 0      0.866      0.134    1
     5.000 0 0 1 1      0.704      0.296    1
    13.000 0 1 0 0      0.493      0.507    2
    11.000 1 1 0 0      0.012      0.988    2
    10.000 1 0 0 0      0.364      0.636    2
     4.000 0 1 0 1      0.264      0.736    2
     4.000 1 1 0 1      0.004      0.996    2
     3.000 1 0 0 1      0.174      0.826    2
     2.000 0 1 1 1      0.048      0.952    2
     2.000 1 1 1 1      0.001      0.999    2
     2.000 1 0 1 1      0.029      0.971    2
     1.000 1 0 1 0      0.074      0.926    2
     1.000 0 1 1 0      0.120      0.880    2
     1.000 1 1 1 0      0.002      0.998    2
